Month,Year,Company,Number_Disconnections_Res,Outliers
1,2022,Duke Energy Carolinas,1012,
1,2022,Duke Energy Progress,0,
1,2022,Dominion,1,
1,2022,New River Light & Power,29,
2,2022,Duke Energy Progress,9,
2,2022,Dominion,136,
2,2022,Duke Energy Carolinas,940,
2,2022,New River Light & Power,58,
3,2022,Duke Energy Progress,81,
3,2022,Dominion,258,
3,2022,Duke Energy Carolinas,426,
3,2022,New River Light & Power,N/A,
4,2022,Duke Energy Progress,179,
4,2022,Dominion,183,
4,2022,Duke Energy Carolinas,157,
4,2022,New River Light & Power,49,
5,2022,Duke Energy Progress,1379,
5,2022,Dominion,202,
5,2022,Duke Energy Carolinas,3872,
5,2022,New River Light & Power,77,
6,2022,Duke Energy Progress,3422,
6,2022,Dominion,100,
6,2022,Duke Energy Carolinas,6207,
6,2022,New River Light & Power,83,
7,2022,Duke Energy Progress,3421,
7,2022,Dominion,98,
7,2022,Duke Energy Carolinas,6026,
7,2022,New River Light & Power,61,
8,2022,Duke Energy Progress,4600,
8,2022,Dominion,98,
8,2022,Duke Energy Carolinas,7984,
8,2022,New River Light & Power,62,
9,2022,Duke Energy Progress,3472,
9,2022,Dominion,101,
9,2022,Duke Energy Carolinas,6727,
9,2022,New River Light & Power,44,
10,2022,Duke Energy Progress,3139,
10,2022,Dominion,162,
10,2022,Duke Energy Carolinas,5842,
10,2022,New River Light & Power,48,
11,2022,Duke Energy Progress,2960,
11,2022,Dominion,146,
11,2022,Duke Energy Carolinas,4823,
11,2022,New River Light & Power,53,
12,2022,Duke Energy Progress,3206,
12,2022,Dominion,60,
12,2022,Duke Energy Carolinas,4888,
12,2022,New River Light & Power,17,
1,2021,Duke Energy Carolinas,0,
1,2021,Duke Energy Progress,0,
1,2021,Dominion,0,
1,2021,New River Light & Power,0,
2,2021,Duke Energy Progress,0,
2,2021,Dominion,0,
2,2021,Duke Energy Carolinas,0,
2,2021,New River Light & Power,0,
3,2021,Duke Energy Progress,0,
3,2021,Dominion,0,
3,2021,Duke Energy Carolinas,0,
3,2021,New River Light & Power,0,
4,2021,Duke Energy Progress,0,
4,2021,Dominion,0,
4,2021,Duke Energy Carolinas,0,
4,2021,New River Light & Power,0,
5,2021,Duke Energy Progress,0,
5,2021,Dominion,0,
5,2021,Duke Energy Carolinas,0,
5,2021,New River Light & Power,0,
6,2021,Duke Energy Progress,0,
6,2021,Dominion,0,
6,2021,Duke Energy Carolinas,0,
6,2021,New River Light & Power,0,
7,2021,Duke Energy Progress,0,
7,2021,Dominion,0,
7,2021,Duke Energy Carolinas,0,
7,2021,New River Light & Power,0,
8,2021,Duke Energy Progress,0,
8,2021,Dominion,0,
8,2021,Duke Energy Carolinas,0,
8,2021,New River Light & Power,0,
9,2021,Duke Energy Progress,0,
9,2021,Dominion,0,
9,2021,Duke Energy Carolinas,0,
9,2021,New River Light & Power,0,
10,2021,Duke Energy Progress,0,
10,2021,Dominion,0,
10,2021,Duke Energy Carolinas,0,
10,2021,New River Light & Power,0,
11,2021,Duke Energy Progress,0,
11,2021,Dominion,0,
11,2021,Duke Energy Carolinas,0,
11,2021,New River Light & Power,0,
12,2021,Duke Energy Progress,0,
12,2021,Dominion,0,
12,2021,Duke Energy Carolinas,0,
12,2021,New River Light & Power,0,
1,2020,Duke Energy Carolinas,11276,Y
1,2020,Duke Energy Progress,8260,
1,2020,Dominion,331,
1,2020,New River Light & Power,17,
2,2020,Duke Energy Progress,8893,
2,2020,Dominion,452,
2,2020,Duke Energy Carolinas,10752,Y
2,2020,New River Light & Power,13,
3,2020,Duke Energy Progress,4021,
3,2020,Dominion,245,
3,2020,Duke Energy Carolinas,5979,
3,2020,New River Light & Power,11,
4,2020,Duke Energy Progress,0,
4,2020,Dominion,0,
4,2020,Duke Energy Carolinas,0,
4,2020,New River Light & Power,0,
5,2020,Duke Energy Progress,0,
5,2020,Dominion,0,
5,2020,Duke Energy Carolinas,0,
5,2020,New River Light & Power,0,
6,2020,Duke Energy Progress,0,
6,2020,Dominion,0,
6,2020,Duke Energy Carolinas,0,
6,2020,New River Light & Power,0,
7,2020,Duke Energy Progress,0,
7,2020,Dominion,0,
7,2020,Duke Energy Carolinas,0,
7,2020,New River Light & Power,0,
8,2020,Duke Energy Progress,0,
8,2020,Dominion,0,
8,2020,Duke Energy Carolinas,0,
8,2020,New River Light & Power,0,
9,2020,Duke Energy Progress,0,
9,2020,Dominion,0,
9,2020,Duke Energy Carolinas,0,
9,2020,New River Light & Power,0,
10,2020,Duke Energy Progress,0,
10,2020,Dominion,0,
10,2020,Duke Energy Carolinas,0,
10,2020,New River Light & Power,0,
11,2020,Duke Energy Progress,0,
11,2020,Dominion,0,
11,2020,Duke Energy Carolinas,0,
11,2020,New River Light & Power,0,
12,2020,Duke Energy Progress,0,
12,2020,Dominion,0,
12,2020,Duke Energy Carolinas,0,
12,2020,New River Light & Power,0,
1,2019,Duke Energy Carolinas,11093,Y
1,2019,Duke Energy Progress,5323,
1,2019,Dominion,234,
1,2019,New River Light & Power,13,
2,2019,Duke Energy Progress,5896,
2,2019,Dominion,523,
2,2019,Duke Energy Carolinas,13921,Y
2,2019,New River Light & Power,25,
3,2019,Duke Energy Progress,6436,
3,2019,Dominion,298,
3,2019,Duke Energy Carolinas,13194,Y
3,2019,New River Light & Power,25,
4,2019,Duke Energy Progress,6502,
4,2019,Dominion,637,
4,2019,Duke Energy Carolinas,15068,Y
4,2019,New River Light & Power,25,
5,2019,Duke Energy Progress,6423,
5,2019,Dominion,350,
5,2019,Duke Energy Carolinas,13588,Y
5,2019,New River Light & Power,34,
6,2019,Duke Energy Progress,6724,
6,2019,Dominion,471,
6,2019,Duke Energy Carolinas,10255,
6,2019,New River Light & Power,21,
7,2019,Duke Energy Progress,6901,
7,2019,Dominion,505,
7,2019,Duke Energy Carolinas,5766,
7,2019,New River Light & Power,51,Y
8,2019,Duke Energy Progress,8274,
8,2019,Dominion,358,
8,2019,Duke Energy Carolinas,10876,Y
8,2019,New River Light & Power,15,
9,2019,Duke Energy Progress,9359,Y
9,2019,Dominion,353,
9,2019,Duke Energy Carolinas,10954,Y
9,2019,New River Light & Power,8,
10,2019,Duke Energy Progress,11524,Y
10,2019,Dominion,557,
10,2019,Duke Energy Carolinas,12156,Y
10,2019,New River Light & Power,14,
11,2019,Duke Energy Progress,8992,
11,2019,Dominion,296,
11,2019,Duke Energy Carolinas,9417,
11,2019,New River Light & Power,10,
12,2019,Duke Energy Progress,7997,
12,2019,Dominion,233,
12,2019,Duke Energy Carolinas,8329,
12,2019,New River Light & Power,12,
1,2018,Duke Energy Carolinas,8485,
1,2018,Duke Energy Progress,4536,
1,2018,Dominion,238,
1,2018,New River Light & Power,29,
2,2018,Duke Energy Progress,5535,
2,2018,Dominion,588,
2,2018,Duke Energy Carolinas,11528,
2,2018,New River Light & Power,13,
3,2018,Duke Energy Progress,4975,
3,2018,Dominion,385,
3,2018,Duke Energy Carolinas,11052,Y
3,2018,New River Light & Power,27,
4,2018,Duke Energy Progress,5977,
4,2018,Dominion,663,
4,2018,Duke Energy Carolinas,14625,Y
4,2018,New River Light & Power,24,
5,2018,Duke Energy Progress,5401,
5,2018,Dominion,629,
5,2018,Duke Energy Carolinas,13604,Y
5,2018,New River Light & Power,21,
6,2018,Duke Energy Progress,4331,
6,2018,Dominion,622,
6,2018,Duke Energy Carolinas,11899,Y
6,2018,New River Light & Power,43,
7,2018,Duke Energy Progress,3659,
7,2018,Dominion,619,
7,2018,Duke Energy Carolinas,12217,Y
7,2018,New River Light & Power,26,
8,2018,Duke Energy Progress,4280,
8,2018,Dominion,482,
8,2018,Duke Energy Carolinas,14009,
8,2018,New River Light & Power,35,
9,2018,Duke Energy Progress,923,
9,2018,Dominion,459,
9,2018,Duke Energy Carolinas,5197,
9,2018,New River Light & Power,12,
10,2018,Duke Energy Progress,3327,
10,2018,Dominion,791,
10,2018,Duke Energy Carolinas,14873,Y
10,2018,New River Light & Power,15,
11,2018,Duke Energy Progress,4351,
11,2018,Dominion,500,
11,2018,Duke Energy Carolinas,12229,Y
11,2018,New River Light & Power,19,
12,2018,Duke Energy Progress,1920,
12,2018,Dominion,203,
12,2018,Duke Energy Carolinas,5072,
12,2018,New River Light & Power,12,
1,2017,Duke Energy Carolinas,8311,
1,2017,Duke Energy Progress,5287,
1,2017,Dominion,511,
1,2017,New River Light & Power,14,
2,2017,Duke Energy Progress,5119,
2,2017,Dominion,484,
2,2017,Duke Energy Carolinas,9486,
2,2017,New River Light & Power,9,
3,2017,Duke Energy Progress,5863,
3,2017,Dominion,405,
3,2017,Duke Energy Carolinas,10188,Y
3,2017,New River Light & Power,28,
4,2017,Duke Energy Progress,4615,
4,2017,Dominion,527,
4,2017,Duke Energy Carolinas,8095,
4,2017,New River Light & Power,13,
5,2017,Duke Energy Progress,6342,
5,2017,Dominion,542,
5,2017,Duke Energy Carolinas,10337,Y
5,2017,New River Light & Power,N/A,
6,2017,Duke Energy Progress,6148,
6,2017,Dominion,629,
6,2017,Duke Energy Carolinas,9946,
